X;Y;Z;idstation;nom;adresse1;adresse2;commune;numdansarr;nbbornette;stationbon;pole;ouverte;achevement;gid;code_insee
4.83428390597171;45.767041004811;0;1021;Terreaux / Beaux Arts;"8, Rue du Président Edouard Herriot";;Lyon 1 er;21;11;;Palais des Beaux Arts;Oui;;43;69381
4.82926950532075;45.7700015740911;0;1034;Carmélites;"Face 30, Montée des Carmélites";;Lyon 1 er;34;16;;;Oui;;44;69381
4.88554082427912;45.7413337186004;0;3024;Rockfeller / Esquirol;"35, Avenue Rockefeller";Intersection Rockfeller/Esquirol;Lyon 3 ème;24;19;;"tram, école d'infirmière, itinéraire cyclable";Oui;;45;69383
4.80271107916901;45.7561939286589;0;5016;Point du Jour / Granges;"49, Avenue du Point du Jour";;Lyon 5 ème;16;13;;Mairie de Lyon 5ème;Oui;;46;69385
4.81063175762027;45.7782780129806;0;4023;Pont Masaryk;"Face 45, Quai Joseph Gillet";Pont Masarik;Lyon 4 ème;23;22;;;Oui;;47;69384
4.87860085696238;45.7332717801444;0;8024;Mermoz / Michelet;"66, Avenue Jean Mermoz";Angle Boulevard Edmond Michelet;Lyon 8 ème;24;12;;"Cité des Entreprises, itinéraire cyclable";Oui;;48;69388
4.83213506219083;45.7677346863699;0;1001;Terreaux / Terme;"33, Rue Terme";Angle Rue d'Algérie;Lyon 1 er;1;16;;;Oui;;49;69381
4.80028792939364;45.773464565982;0;9020;Bourbonnais;"45, Rue du Bourbonnais";angle Rue Docteur Horand et Avenue Georges Masset;Lyon 9 ème;20;12;;maillage;Oui;;50;69389
4.8842705328109;45.764799169061;0;10064;4 août 1789;"97, Rue du 4 août 1789";Angle Rue Rollet;VILLEURBANNE;64;15;;"iti. Cyclable, associations sportives";Oui;;51;69266
4.86711492199288;45.7764535731413;0;10055;Condorcet / Galline;"Face 16, Avenue Galline";Angle avenue de Condorcet;VILLEURBANNE;55;15;;maillage (habitat dense);Oui;;52;69266
4.82764840108796;45.7797553671143;0;4004;Hénon;"60, Boulevard des Canuts";angle Rue Hénon;Lyon 4 ème;4;22;;"métro C, itinéraire cyclable";Oui;;53;69384
4.88424151324261;45.7688763179067;0;10059;Anatole France / Zola;"Face 145, Rue Anatole France";Angle Zola / France / Lherminier;VILLEURBANNE;59;13;;"stade de la Viabert, Carrefour, iti. Cyclable";Oui;;54;69266
4.8787495764626;45.7588589710479;0;10060;Saint Exupéry;"33, Avenue Antoine de Saint Exupéry";Face Rue Raymond Terracher;VILLEURBANNE;60;15;;"Commerces, marché, centre de quartier";Oui;;55;69266
4.852372782856;45.7696601321996;0;6007;Masséna;"47, Rue Tête d'Or";angle Cours Vitton;Lyon 6 ème;7;27;;métro A;Oui;;56;69386
4.86735329462592;45.7539631929671;0;3043;Place Rouget de L'Isle;Place Rouget de l'Isle;"Face 35, Avenue Lacassagne";Lyon 3 ème;43;16;;maillage;Oui;;57;69383
4.87734642987402;45.7559510292356;0;10024;Maisons Neuves;Place des Maisons Neuves;Côté rue Jean Jaurès;VILLEURBANNE;24;23;;"centre quartier, itinéraire cyclable";Oui;;58;69266
4.87989386727746;45.7668306064525;0;10027;Mairie de Villeurbanne;"3, Avenue Aristide Briand";En face de l'entrée de la mairie;VILLEURBANNE;27;26;;"Mairie de Villeurbanne, TNP, itinéraire cyclable";Oui;;59;69266
4.89384480955743;45.7738494367907;0;10030;Greuze;"2, Rue Greuze";;VILLEURBANNE;30;18;;centre social;Oui;;60;69266
4.88613386552362;45.7618201068859;0;10034;Docteur Damidot;"46, Rue du Docteur Damidot";Devant la MJC;VILLEURBANNE;34;18;;MJC;Oui;;61;69266
4.85915458576084;45.7743568286995;0;10036;Stalingrad;"123, Boulevard Stalingrad";angle rue Chaplin;VILLEURBANNE;36;21;;"entreprises, itinéraires cyclables";Oui;;62;69266
4.86677832802409;45.7790457737186;0;10038;Condorcet;Boulevard du 11 Novembre 1918;Croisement Tram;VILLEURBANNE;38;23;;"tram, itinéraire cyclable";Oui;;63;69266
4.89063459567278;45.7829835939928;0;10043;Salengro / Feyssine;"Face 44, Rue de la Feyssine";;VILLEURBANNE;43;20;;itinéraires cyclables;Oui;;64;69266
4.83283358305682;45.7660850668592;0;1005;Meissonier;Place Meissonier;Angle sud-est de la place;Lyon 1 er;5;16;;maillage;Oui;;65;69381
4.8850235984659;45.7711232449441;0;10047;Lherminier / Pressensé;"2, Avenue du Commandant Lherminier";Angle Rue Francis de Pressensé;VILLEURBANNE;47;15;;itinéraires cyclables;Oui;;66;69266
4.8759935561092;45.7591435230512;0;10048;Place Marengo;"54, Avenue Marc Sangnier";Angle Place Marengo;VILLEURBANNE;48;27;;"coeur quartier, itinéraire cyclable";Oui;;67;69266
4.8204716703055;45.7426115005544;0;2007;Patinoire Charlemagne;"100, Cours Charlemagne";Rue Casimir Périer;Lyon 2 ème;7;37;;"Patinoire Charlemagnes, Station tramway";Oui;Monté;68;69382
4.89158095142912;45.7794643121307;0;10039;Bouvier;"Face 2, Rue du Professeur Emile Bouvier";Angle rue du 8 Mai 1945;VILLEURBANNE;39;16;;coeur quartier;Oui;;69;69266
4.83428668834704;45.763076929567;0;2016;Place Regaud;Place Regaud;Angle rue Tupin / rue Herriot;Lyon 2 ème;16;12;;"maillage, Virgin";Oui;;70;69382
4.86569926844606;45.7722995938508;0;10075;Gabriel Péri;Rue Gabriel Péri;Angle cours André Philip;VILLEURBANNE;75;12;;;Oui;;71;69266
4.87916148913811;45.7681304002299;0;10079;Anatole France / Barbusse;"103, Rue Anatole France";Angle avenue Barbusse;VILLEURBANNE;79;20;;"marché, centre-ville";Oui;;72;69266
4.85198949891518;45.7733270382748;0;6006;Boulevard des Belges;"49, Boulevard des Belges";Face rue Duquenne;Lyon 6 ème;6;15;;Parc de la Tête d'Or;Oui;;73;69386
4.84949672378459;45.7684041683728;0;6011;Mairie du 6e;"58, Rue de Sèze";angle Rue Boileau;Lyon 6 ème;11;23;;Mairie du 6e;Oui;;74;69386
4.88963135017621;45.7698294895998;0;10086;Anatole France;Rue Anatole France;Angle Rue de Pressensé / Flachet;VILLEURBANNE;86;10;;"maillage, iti. Cyclable";Oui;;75;69266
4.84460363574836;45.7717570855734;0;6012;Place Puvis de Chavannes;Place Puvis de Chavannes;Angle rue Vendôme;Lyon 6 ème;12;10;;;Oui;;76;69386
